gene,Cell_ID,Sample,log1TPM,treatment,Polarity,sample_mean_log1TPM,log1RPM,log1RPM_posterior,sample_mean_log1TPM_posterior,Skew,coeff,p_value,q_value,sig,domain
SteCoe_31159,con1,con1A,1.9126191459189998,con,A,2.0254266536700314,3.9380457995890312,4.402004779413731,2.0293517934182708,-0.05563023574374726,0.5062078241756504,0.029247555453370974,0.1439858128307041,True,hypothetical protein
SteCoe_3116,con1,con1A,2.6498270551487697,con,A,2.0254266536700314,4.675253708818801,4.3814680710743605,2.0293517934182708,0.03243840816626099,0.10453987588476792,0.0008227162337159161,0.08017277815676771,True,Metallophos domain protein
SteCoe_31197,con1,con1A,2.44992900659477,con,A,2.0254266536700314,4.4753556602648015,4.81955041869676,2.0293517934182708,-0.037030471906652415,0.07717941723353802,0.023358411804768192,0.13816979920631034,True,EamA domain protein
SteCoe_3121,con1,con1A,0.5880642599497309,con,A,2.0254266536700314,2.613490913619762,2.8560444616653347,2.0293517934182708,-0.04434628015052001,0.33231509871460246,0.02303187829325287,0.13816979920631034,True,hypothetical protein
SteCoe_31218,con1,con1A,1.53872581083724,con,A,2.0254266536700314,3.5641524645072713,3.209346924159691,2.0293517934182708,0.05238142354323098,0.43600571021159507,0.04517634403939598,0.14692748008469417,True,Ax_dynein_light domain protein
SteCoe_3136,con1,con1A,3.9389956333652902,con,A,2.0254266536700314,5.964422287035322,5.88557268299475,2.0293517934182708,0.006653977848935002,0.8961541564871709,0.0636765562682527,0.15480343097695456,False,Siah-Interact_N domain protein
SteCoe_3139,con1,con1A,3.46309845222536,con,A,2.0254266536700314,5.488525105895391,5.13908490083409,2.0293517934182708,0.03288041289057772,0.2907272987603386,0.11031595024669363,0.17510468293125975,False,Lactamase_B domain protein
SteCoe_31439,con1,con1A,3.24057194777356,con,A,2.0254266536700314,5.2659986014435916,5.3984402449202005,2.0293517934182708,-0.012418997884897335,0.11078957980204972,0.03749018082302273,0.14692748008469417,True,RRM_1 domain protein
SteCoe_31542,con1,con1A,3.9505225545869305,con,A,2.0254266536700314,5.975949208256962,5.444751730131221,2.0293517934182708,0.046511810526465726,0.4267827405303163,0.13047353181295654,0.183254595192697,False,EF-hand_8 domain protein
SteCoe_31640,con1,con1A,2.78710989701401,con,A,2.0254266536700314,4.812536550684041,5.618886722195111,2.0293517934182708,-0.077300110485164,0.12009535386045037,0.0013983626807664846,0.08017277815676771,True,hypothetical protein
SteCoe_31641,con1,con1A,4.602552634954759,con,A,2.0254266536700314,6.627979288624791,6.138016378638001,2.0293517934182708,0.03838031304078016,0.2854473835515661,0.02847410485335933,0.1439858128307041,True,hypothetical protein
SteCoe_31768,con1,con1A,1.4185723628322,con,A,2.0254266536700314,3.4439990165022314,3.773436056855121,2.0293517934182708,-0.04564461432690719,1.0256137063748012,0.1351703005153953,0.18516479522656892,False,FHA domain protein
SteCoe_3182,con1,con1A,3.75266474694705,con,A,2.0254266536700314,5.778091400617082,5.5927068662512305,2.0293517934182708,0.0163035637441582,0.7073787248783392,0.08484985335112015,0.16284940239901127,False,Band_7 domain protein
SteCoe_31848,con1,con1A,1.22813238814297,con,A,2.0254266536700314,3.253559041813001,3.3637439767219908,2.0293517934182708,-0.016651033600904,0.7221939482206927,0.13841471106023837,0.1865427372779493,False,hypothetical protein
SteCoe_31892,con1,con1A,3.01847563533677,con,A,2.0254266536700314,5.043902289006802,5.174860202411721,2.0293517934182708,-0.012815437633949768,1.1178502785803246,0.12321675184355647,0.182011828211264,False,hypothetical protein
SteCoe_31955,con1,con1A,2.11660907405885,con,A,2.0254266536700314,4.1420357277288815,4.796768715946222,2.0293517934182708,-0.07324614743984184,0.5682338728940971,0.2455006543845893,0.26061640592843877,False,zf-C2H2_4 domain protein
SteCoe_32000,con1,con1A,0.245345191677742,con,A,2.0254266536700314,2.2707718453477734,2.5357422061261747,2.0293517934182708,-0.05512734550253659,0.5084221432276729,0.05613490653333407,0.15259340647277359,False,hypothetical protein
SteCoe_32075,con1,con1A,3.8268150634056495,con,A,2.0254266536700314,5.852241717075681,5.438919018181311,2.0293517934182708,0.03660586440894046,0.4762508655300794,0.1276876692801744,0.183254595192697,False,Metallophos domain protein
SteCoe_32093,con1,con1A,5.32896608239645,con,A,2.0254266536700314,7.354392736066481,6.920230980283631,2.0293517934182708,0.030414935231221712,0.32334621801277835,0.053723340659371566,0.15259340647277359,False,S-AdoMet_synt_N domain protein
SteCoe_32102,con1,con1A,3.5762684146195096,con,A,2.0254266536700314,5.601695068289541,5.309740036414801,2.0293517934182708,0.02675679496539065,0.5535910518067585,0.13680038255295354,0.18637654298767514,False,hypothetical protein
SteCoe_32219,con1,con1A,4.68197143111835,con,A,2.0254266536700314,6.707398084788381,6.859706430720592,2.0293517934182708,-0.01122629708926486,0.7905814256232708,0.13371441184336255,0.18452770138537125,False,Ceramidase domain protein
SteCoe_32269,con1,con1A,3.46123576130911,con,A,2.0254266536700314,5.486662414979142,5.460438651701171,2.0293517934182708,0.0023954984171825865,1.158318683670029,0.11409933817406913,0.17772482581630705,False,zf-LITAF-like domain protein
SteCoe_32299,con1,con1A,2.6854514535990397,con,A,2.0254266536700314,4.710878107269071,5.012110219161021,2.0293517934182708,-0.03098143305110298,0.14177005429795642,0.0315709938035645,0.1439858128307041,True,hypothetical protein
SteCoe_32347,con1,con1A,1.9989467157987602,con,A,2.0254266536700314,4.024373369468791,4.270183862224311,2.0293517934182708,-0.02963515542653556,0.317866256914811,0.06499964839799859,0.15480343097695456,False,hypothetical protein
SteCoe_32377,con1,con1A,5.071993636914731,con,A,2.0254266536700314,7.097420290584762,6.9390201148201305,2.0293517934182708,0.011284924894750225,0.5831489940088546,0.08082829863572659,0.16284940239901127,False,Ribosomal_S6e domain protein
SteCoe_32383,con1,con1A,0.593166852130008,con,A,2.0254266536700314,2.6185935058000394,2.6270403846274077,2.0293517934182708,-0.0016102684639854046,1.1567147458808238,0.05998814729020467,0.15357880725811787,False,WD40 domain protein
SteCoe_3251,con1,con1A,0.388707575828188,con,A,2.0254266536700314,2.4141342294982193,2.9291299013103025,2.0293517934182708,-0.09638222240272372,0.6327624589467473,0.18988604798377498,0.22028543849625867,False,hypothetical protein
SteCoe_32538,con1,con1A,2.3936820966803904,con,A,2.0254266536700314,4.419108750350421,3.9287868962527606,2.0293517934182708,0.05873598267812276,0.4015032055894926,0.12067611806203733,0.18037489325713527,False,hypothetical protein
SteCoe_32756,con1,con1A,2.81761575104264,con,A,2.0254266536700314,4.843042404712671,4.915028231666621,2.0293517934182708,-0.00737705532542246,0.41228091410245676,0.020343981055012932,0.13816979920631034,True,hypothetical protein
SteCoe_32837,con1,con1A,0.4688091479870371,con,A,2.0254266536700314,2.4942358016570685,2.8273004558113035,2.0293517934182708,-0.06258806443098158,0.8671289484755192,0.1657162424441441,0.20268717977633896,False,RSK family kinase
SteCoe_32925,con1,con1A,2.24658817149365,con,A,2.0254266536700314,4.272014825163682,5.34036707273269,2.0293517934182708,-0.11114334188103911,0.31831821549898404,0.04555136259682546,0.14692748008469417,True,hypothetical protein
SteCoe_32932,con1,con1A,2.74425921645415,con,A,2.0254266536700314,4.7696858701241815,5.085316024339621,2.0293517934182708,-0.03202740675197122,0.5109612024897031,0.023370660019692676,0.13816979920631034,True,hypothetical protein
SteCoe_32976,con1,con1A,4.30238376648139,con,A,2.0254266536700314,6.327810420151422,6.124721258735611,2.0293517934182708,0.016309066031941405,1.0088428590879066,0.12480217537114324,0.183254595192697,False,hypothetical protein
SteCoe_32991,con1,con1A,2.10498617361278,con,A,2.0254266536700314,4.130412827282811,3.945130471684931,2.0293517934182708,0.022943639670852084,0.6936043369155045,0.031911754984194955,0.1439858128307041,True,hypothetical protein
SteCoe_32993,con1,con1A,0.9211608042693409,con,A,2.0254266536700314,2.9465874579393723,3.225996782355101,2.0293517934182708,-0.045266182451063494,0.8467988096720879,0.17462172340348076,0.2091519106922468,False,hypothetical protein
SteCoe_32999,con1,con1A,1.61709414744306,con,A,2.0254266536700314,3.6425208011130916,3.9078253702878007,2.0293517934182708,-0.03513806693786127,0.39592492955309944,0.04738944487689555,0.15092179897100494,False,hypothetical protein
