"","A1","A2","A6","P1","P2","P6"
"SteCoe_10145",89,123,46,186,131,184
"SteCoe_10146",21,48,19,18,25,18
"SteCoe_10147",105.957055214724,99.1758241758242,75.6028368794326,89.0279329608938,133.608856088561,112.247191011236
"SteCoe_10148",943,1233,438,1268,1283,929
"SteCoe_10149",191,219,81,258,258,60
"SteCoe_1015",0,0,0,0,0,0
"SteCoe_10150",704,498,222,738,584,420
"SteCoe_10151",22,10,15,22,8,12
"SteCoe_10152",0,0,0,1,0,0
"SteCoe_10153",48.3096774193548,78.123417721519,35.0446927374302,79.1003811944092,108.134328358209,41.0612855007474
"SteCoe_10154",6205.6781215964,7917.72349255105,3982.11042451464,6372.84920370494,7044.62116674212,5087.3762017453
"SteCoe_10155",9375,10978,3660,10039,10842,4632
"SteCoe_10156",64,82,41,166,95,61
"SteCoe_10157",65,77,39,81,54,73
"SteCoe_10159",345,541,342,576,788,488
"SteCoe_10160",711,881,116,953.643586214455,1219,219
"SteCoe_10161",470,567,204,742,781,244
"SteCoe_10162",22333,28609,11093,23996,26924,14483
"SteCoe_10163",74,111,23,112.636635763307,134.982044271176,37
"SteCoe_10164",889,1085,270,807,1468,640
"SteCoe_10165",276,328,97,287,257,149
"SteCoe_10166",1352,2014.30510396781,973,2097,2268,1959
"SteCoe_10167",12,28,12,66,41,14
"SteCoe_10168",1424,1758,558,1385,1634,845
"SteCoe_10170",487,616.23,344,580.576540755467,694,826
"SteCoe_10172",338,549,17,442,539,24
"SteCoe_10173",238,232,54,238,308,76
"SteCoe_10175",215.189273791288,268.81808959609,42.5346920813564,232.394446003427,284.913133587458,15
"SteCoe_10177",1884,2357,833,2209,2984,1238
"SteCoe_10178",105,94,14,92,34,35
"SteCoe_10180",201,426,106,281,589,154
"SteCoe_10181",654,1114,342,723,770,458
"SteCoe_10182",334.668,359.081570996979,140,543,446,143
"SteCoe_10183",7,14,4,43,31,23
"SteCoe_10184",868,1060,285,1772,1702,551
"SteCoe_10185",2,4,1,4,0,1
"SteCoe_10186",740.540561031084,1022.20412595005,408.945221445221,818.802816901409,1040.15229736706,839.157190635451
"SteCoe_10187",0,0,0,3,1,0
"SteCoe_10188",1284,1429,523,1718,1749,1109
"SteCoe_10189",471,458,247,553,507,301
"SteCoe_1019",5065,6540,1210,5734,6957,1961
"SteCoe_10191",269,344,65,303,309,126
"SteCoe_10192",833,820,324,1004,819,746
"SteCoe_10193",12,7,7,18,5,21
"SteCoe_10194",202,167,81,430,306,55
"SteCoe_10195",20,34,6,16,28,18
"SteCoe_10196",0,0,0,0,0,0
"SteCoe_10197",13483,16096,3468,13160,16499,5149
"SteCoe_10198",0,0,0,0,0,0
"SteCoe_10199",69,26,5,89,36,26
"SteCoe_102",88,179,51,118,170,45
"SteCoe_1020",0,0,0,0,0,0
"SteCoe_10200",370,767,172,767,765,300
"SteCoe_10201",84,110,60,215,122,83
"SteCoe_10202",1077,1350.68493150685,1014.61641337386,1195.29011345219,1360.67326732673,1474
"SteCoe_10203",529,485,74,334.231709615566,512,96
"SteCoe_10204",5924,6665,878,6874,7860,1696
"SteCoe_10205",419,588,351,462,606,544
"SteCoe_10206",82,101,45,108,127,69
"SteCoe_10207",4,24,1,44,12,0
"SteCoe_10208",945,1115,334,1069,1226,486
"SteCoe_10209",1244.73611111111,2316.23183582917,689.050764951321,1447.39531914894,1958.33583021223,1219.1484281735
"SteCoe_1021",42,64,11,36,61,55
"SteCoe_10212",2377,2760,1074,2526,2799,1609
"SteCoe_10213",0,1,1,0,0,0
"SteCoe_10214",79,48,18,98,84,22
"SteCoe_10215",59,136,17,48,150,39
"SteCoe_10216",295.120793041703,326.359409168746,46.0241076897691,434.428055086362,341.543149398157,137
"SteCoe_10217",195,212,71,404,314,107
"SteCoe_1022",5759,7970,2125,6896,8496,3446
"SteCoe_10220",71,191,43,67,125,120
"SteCoe_10222",0,0,0,0,1,0
"SteCoe_10223",0,0,0,0,0,0
"SteCoe_10224",274,309,124,318,196,201
"SteCoe_10227",1126,2123,603,1413,2227,863
"SteCoe_10228",1078,668,474,1939,1055,856
"SteCoe_10229",203,370,115,243,371,249
"SteCoe_1023",17,35,0,39,38,0
"SteCoe_10230",99,83,55,109,106,120
"SteCoe_10231",217,240,86,250,237,139
"SteCoe_10232",154,222,63,250,200,79
"SteCoe_10233",10.0504625735913,10.0345067967933,9.08656224237428,14.0539869686627,6.02618759985971,20.1476468778837
"SteCoe_10234",1646.17693444321,1910.16716888491,2291.32909191508,1750.1770438635,2123.59252083393,2750.31320731587
"SteCoe_10235",2986,3950,995,3386,3463,1080
"SteCoe_10236",1039,1192,478,1043,1165,906
"SteCoe_10237",0,0,0,0,0,0
"SteCoe_10238",0,0,0,0,0,0
"SteCoe_10239",1704,2638,773,1865,2456,1071
"SteCoe_1024",289,524,98,561,609,130
"SteCoe_10240",58,116,39,70,120,37
"SteCoe_10241",177,247,118,356,308,202
"SteCoe_10242",185,140,15,181,180,38
"SteCoe_10244",60,63,25,94,72,63
"SteCoe_10245",70,58,39,84,143,83
"SteCoe_10246",724,1015,202,1457,1196,630
"SteCoe_10247",23,28,1,69,29,9
"SteCoe_10248",0,0,0,0,0,0
"SteCoe_10249",0,0,0,0,0,0
"SteCoe_1025",318.741602094498,379.433477792047,156.293871876576,316.442961108023,392.087659127901,213.375380588956
"SteCoe_10251",0,0,0,0,0,0
"SteCoe_10253",10,41,6,30,102,13
"SteCoe_10254",304,355,70,351,339,122
"SteCoe_10256",847,939,367,965,1082,578
"SteCoe_10257",0,0,0,0,0,0
"SteCoe_10258",0,0,0,0,0,0
"SteCoe_10259",464,671,267,579.021149482252,668,358
"SteCoe_10263",22,59,31,42,70,31
"SteCoe_10264",205,251.748035432982,71.2006760279348,295.270211035944,247.581167871054,100
"SteCoe_10265",90,111,56,89,184,48
"SteCoe_10266",0,0,0,0,0,0
"SteCoe_10267",194.514285714286,216.312590448625,75.2442996742671,329.599056603774,284.780269058296,125.78674351585
"SteCoe_10268",0,0,0,0,0,0
"SteCoe_10269",0,0,0,0,0,0
"SteCoe_1027",82,138,43,167,184,178
"SteCoe_10270",44,69,14,27,50,40
"SteCoe_10271",396,663,350,721,716,478
"SteCoe_10273",0,0,0,0,0,0
"SteCoe_10274",11,70,37,52,50,28
"SteCoe_10275",239,276,27,209,218,35
"SteCoe_10276",2762,3591,484,3142,3770,859
"SteCoe_10277",4482,6054,3459,5201,5867,5775
"SteCoe_10278",524,561,214,661,542,344
"SteCoe_10279",1,5,2,15,9,15
"SteCoe_1028",49,89,11,79,84,66
"SteCoe_10280",0,0,0,0,0,0
"SteCoe_10281",337,340,28,398,482,28
"SteCoe_10285",37,75,26,48,76,82
"SteCoe_10288",2351,2639,662,2348,3012,1764
"SteCoe_10289",329,412,568,455,426,744
"SteCoe_1029",128,176,23,146,112,56
"SteCoe_10290",389.746015333707,545.12464008632,378.924903159046,558.779599953186,628.771396717398,444.071427537644
"SteCoe_10292",107,121,66,128.200666527083,108,89
"SteCoe_10293",115,175,104,140,155,183
"SteCoe_10295",111,119,10,74,73,9
"SteCoe_10296",65,112,10,121,110,24
"SteCoe_10297",36,21,2,25,34,6
"SteCoe_10298",61,58,16,49,60,31
"SteCoe_10299",0,2,0,0,0,0
"SteCoe_1030",144,135,48,290,170,111
"SteCoe_10300",89,144,26,109,99,14
"SteCoe_10301",0,0,0,1,0,2
"SteCoe_10302",7.27187859392202,3.02460767099894,0,1.00522002624853,0,2.08302517231235
"SteCoe_10303",10,35,3,2,14,13
"SteCoe_10304",1122,1241,401,1460,1678,854
"SteCoe_10305",139,140,63,149,172,70
"SteCoe_10306",1785.48192771084,2455.38731160182,566.107142857143,2187.13157894737,2379.87306843267,1295.13739837398
"SteCoe_10307",28,78,1,71,70,25
"SteCoe_10308",0,0,0,0,0,0
"SteCoe_10309",3140.50669914738,3985.86206896552,708.134340890008,3511.03174603175,4195.36498150432,920.756464221287
"SteCoe_1031",244,304,85,325,359,178
"SteCoe_10310",0,0,0,0,0,0
"SteCoe_10311",0,0,0,0,0,0
"SteCoe_10312",456.138845225454,527.969763411917,105.072136597167,939.651397438993,629.121795786215,203.925440676383
"SteCoe_10313",1963.97900902999,2523.02553242635,974.457299838255,2154.21609757604,2424.71328103287,1613.88193801563
"SteCoe_10315",209,306,121,362,335,199
"SteCoe_10316",61,78,20,176,131,36
"SteCoe_10317",264,312,81,353,360,372
"SteCoe_10318",45,68,13.5628629009274,35.5476596871422,57,5
"SteCoe_10319",0,0,0,0,0,0
"SteCoe_1032",901,1078,466,1366,1448,1575
"SteCoe_10320",0,0,0,0,0,0
"SteCoe_10321",197,245,77,299,303,210
"SteCoe_10322",604,657,241,982,880,144
"SteCoe_10323",817,702,307,787,568,284
"SteCoe_10324",367,438,166,382,525,303
"SteCoe_10325",38,56,10,61,81,14
"SteCoe_10326",127,380,91,183,474,118
"SteCoe_10327",136,185,63,126,201,226
"SteCoe_10328",179,222,100,208,229,231
"SteCoe_10329",11.2408759124088,18.3829787234043,9.15652173913043,27.0685279187817,23.3224299065421,20.414201183432
"SteCoe_1033",42,63,3,57,30,18
"SteCoe_10330",4,2,2,7,7,1
"SteCoe_10331",1064.41822233303,1671.40968352834,346,1280.42144787126,2109,616
"SteCoe_10332",20,48,34,28,47,60
"SteCoe_10333",507,1005,147,838.419198070539,1197.00462320874,303
"SteCoe_10334",102,76,27,64,101,35
"SteCoe_10335",0,0,0,0,0,0
"SteCoe_10336",46,44,6,31,56,46
"SteCoe_10337",0,0,0,0,0,0
"SteCoe_10338",108,219,93,284,375,153
"SteCoe_10339",53,137,20,128,174,71
"SteCoe_10340",152,183,57,181,274,76
"SteCoe_10341",1068,1350,395,1105,1238,539
"SteCoe_10342",202,192,23,232,305,47
"SteCoe_10343",12333.1007245472,13543.6872614574,3981.13118874785,14705.7969050225,14698.5543220721,4418.69735416366
"SteCoe_10344",0,0,0,4,0,0
"SteCoe_10346",147,166,148,149,159,183
"SteCoe_10347",270,249,115,286,285,167
"SteCoe_10348",2219,2210,981,2503,2198,1270
"SteCoe_10349",1036.88902980342,1035.59878787879,518.569463548831,1892.36354273944,1102.45803357314,729.802110817942
"SteCoe_1035",0,0,0,0,0,0
"SteCoe_10350",0,0,0,0,0,0
"SteCoe_10351",48,69,19,30,86,63
"SteCoe_10352",41,45,7,53,74,16
"SteCoe_10353",292.831412147449,369.836643847078,123.852497840173,458.35320706936,599.855417406566,172.121345723768
"SteCoe_10354",0,0,0,0,0,0
"SteCoe_10355",41,71,23,53,115,28
"SteCoe_10356",492.566927196014,654.538705142332,165.88559758882,682.704889226359,595.83825973165,257.006188941591
"SteCoe_10357",205,433,127,448,566,387
"SteCoe_10358",0,1,5,0,10.0040601749934,3.04721685990903
"SteCoe_10359",172,186,39,281,183,67
"SteCoe_1036",18,37,46,71,51,68
"SteCoe_10361",46,142,32,64,148,90
"SteCoe_10362",26,55,12,31,35,50
"SteCoe_10363",314,312,192,554,423,347
"SteCoe_10366",460.654368072502,406.672419833021,71,461,527.585740581927,130
"SteCoe_10367",0,0,0,1,0,0
"SteCoe_10368",272,273,112,514,398,367
"SteCoe_10369",105,37,12,140,86,27
"SteCoe_1037",1,0,0,0,2,2
"SteCoe_10370",0,0,0,0,0,0
"SteCoe_10371",10255,11264,3631,11179.8421691319,12680.9467352401,5663
"SteCoe_10372",449,517,120,368,508,137
"SteCoe_10373",0,0,0,0,0,0
"SteCoe_10374",60,105,7,87,139,77
"SteCoe_10375",1262,1508,880,1332,1563,1153
"SteCoe_10376",0,0,0,0,0,0
"SteCoe_10378",393,413,226,462,487,538
"SteCoe_10379",33,106,12,84,100,55
"SteCoe_1038",27,32,16,33,31,5
"SteCoe_10380",1622,2880,677,2350,3708,1604
"SteCoe_10381",80.6003127284605,74.7341137058969,17,72,73.4774815105931,18
"SteCoe_10383",321,498,323,486,573,878
"SteCoe_10384",184,299,60,249,406,119
"SteCoe_10385",157,163,51,179,115,204
"SteCoe_10386",311,283,152,324,388,245
"SteCoe_10387",158,121,119,283,129,226
"SteCoe_10388",932,382,100,1142,583,126
"SteCoe_10389",171.513503903911,242,52,213,245,121
"SteCoe_1039",251,350,158,335,374,235.414462081129
"SteCoe_10390",3,9,5,28,16,8
"SteCoe_10391",4,9,0,0,5,1
"SteCoe_10392",281,340,135,288,316,149
"SteCoe_10393",0,0,0,0,0,0
"SteCoe_10394",26,53,9,52,38,25
"SteCoe_10395",145.075629330297,177.875631199662,63.1343825625755,139.738143488936,209.349945885605,82.2230445633975
"SteCoe_10396",160,163,42,236,149,90
"SteCoe_10398",1,7,0,6,2,0
"SteCoe_10399",21,28,13,17,8.38709677419355,0
"SteCoe_104",525,459,201,493,622,267
"SteCoe_1040",0,0,0,0,0,0
"SteCoe_10401",363,583,197,623,788,345
"SteCoe_10402",640.894736842105,1063.35445362718,619.26158445441,847.712962962963,1113.50834064969,1009.99196787149
"SteCoe_10403",87,87,25,80,65,29
"SteCoe_10404",868,971,369,1050,1010,383
"SteCoe_10405",9,10,14,11,9,51
"SteCoe_10406",295,389,180,520,481,375
"SteCoe_10408",6,29,0,14,50,1
"SteCoe_10409",125,94,37,229,282,134
"SteCoe_1041",158,159,127,166,164,109
"SteCoe_10410",682.314893617021,1009.630625,330,971.62363519589,898,339
"SteCoe_10413",619,743,210,763,807,219
"SteCoe_10414",150,309,66,142,222,109
"SteCoe_10415",209,275,112,317,268,125
"SteCoe_10416",12288.9475663255,12146.5560088025,2498.12447384245,14229.465731026,13406.9908907853,4010.41289348857
"SteCoe_10417",361,452,141,390,527,93
"SteCoe_10418",0,0,0,1,0,0
"SteCoe_10419",484.992018996507,504.588912686675,200.598049704,946.652033368628,824.977129737089,460.069106010575
"SteCoe_1042",28,11,10,38,17,5
"SteCoe_10420",409,655,318,560,531,528.39264584899
"SteCoe_10421",0,0,0,0,0,0
"SteCoe_10422",2408,3112,964,2447.60553539644,2992,1395
"SteCoe_10423",0,2,9,0,0,0
"SteCoe_10424",384,483,119,361,403,316
"SteCoe_10425",307,244,187,357,417,465
"SteCoe_10426",160,319,41,261,264,113
"SteCoe_10427",0,0,0,0,0,0
"SteCoe_10429",145,84,40,171,161,87
"SteCoe_1043",0,0,0,1,0,1
"SteCoe_10430",0,2,0,0,1,1
"SteCoe_10431",67,58,30,107,70,35.1032896285856
"SteCoe_10434",4342,5309,1415,4680,5538,1932
"SteCoe_10435",8564,10622,1871,10389,11628,3562
"SteCoe_10436",0,0,0,0,0,0
"SteCoe_10437",1230,1308,315,1263,1557,561
"SteCoe_10439",1,15,0,8,9,0
"SteCoe_10440",0,0,0,0,11,0
"SteCoe_10441",249.503333333333,267.912552891396,106.976744186047,348.280334728033,330.679049034175,77.1402550091075
"SteCoe_10443",53,102,61,55,118,50
"SteCoe_10444",113.957627118644,146.635338345865,51.1940298507463,170.94701986755,95.2876712328767,44.6666666666667
"SteCoe_10445",0,0,0,0,0,0
"SteCoe_10446",297,201,62,338,234,83
"SteCoe_10447",2002,2012,473,2162,2007,721
"SteCoe_10448",688,1091,96,1041,1088,141
"SteCoe_10449",50.9009009009009,92.3484848484848,75.1808510638298,103.148936170213,120,159.436363636364
"SteCoe_1045",0,0,0,0,0,0
"SteCoe_10450",10962.9599561193,13040.6495788186,7280.33249271872,12355.821854638,12354.7421230787,10239.8936856234
"SteCoe_10451",727,1099,207,1151,1293,427
"SteCoe_10452",870,921,100,1031,939,201
"SteCoe_10453",298,245,43,418,393,97
"SteCoe_10454",28,27,13,19,30,11
"SteCoe_10455",1474.33227704844,1988.5738808482,798.667928098392,2166.58159509202,2027.63161269638,992.230420711974
"SteCoe_10456",19,19,0,48,26,18
"SteCoe_10457",7,11,2,11,14,0
"SteCoe_10459",85,127,59,97,142,117
"SteCoe_1046",377.070654934844,397.818922168127,84.1546416918855,400.650006401319,359.88637757461,96.6080315460673
"SteCoe_10460",0,0,0,0,0,0
"SteCoe_10461",30,42,14,61,45,21
"SteCoe_10462",139,183,21,226,264,36
"SteCoe_10463",0,0,0,0,0,0
"SteCoe_10464",947,1184,505,997,1160,784
"SteCoe_10465",1467,2231,897,1639,2559,1373
"SteCoe_10467",2914,6664,3294,3798,7156,7569
"SteCoe_10468",30,29,13,67,47,7
"SteCoe_10469",785,1008,124,1137,1334,255
"SteCoe_1047",0,0,0,0,0,0
"SteCoe_10470",1444,1794,688,1763,2107,919
"SteCoe_10471",90,165,46,164,149,157
"SteCoe_10472",11405,15047,7588,12317,13189,9364
"SteCoe_10473",796,990,307,1548,1244,543
"SteCoe_10474",310.547210300429,464.779299847793,398.289269051322,398.553054662379,451.54679144385,686.084158415842
"SteCoe_10475",1227,1349,546,1663,1632,946
"SteCoe_10476",973,903,252,1523,1088,607
"SteCoe_10477",583,773,343,622,728,630
"SteCoe_10478",568,1240,794,540,803,844
"SteCoe_10479",1379,2144,678,2072,2329,1097
"SteCoe_1048",0,0,0,0,0,0
"SteCoe_10480",126,155,54,214,229,114
"SteCoe_10481",0,0,0,0,0,0
"SteCoe_10482",0,0,0,1.01144278491582,0,0
"SteCoe_10483",55,130,45,113,98,51
"SteCoe_10484",2149.47218806201,2029.18051587295,523.902492471676,2879.97552195675,2171.80922979619,855.449751972435
"SteCoe_10485",0,0,0,0,0,1
"SteCoe_10486",37,75,129,72.3495145631068,101,190.355805243446
"SteCoe_10487",2468,3852,770,3282,3589,1235
"SteCoe_10488",0,0,0,0,0,0
"SteCoe_10490",61805,59585,20306,69629,56219,16200
"SteCoe_10491",155,154,80,249,241,176
"SteCoe_10492",271,443,99,356,389,164
"SteCoe_10494",110,94,29,106,230,37
"SteCoe_10496",17,28,15,24,18,14
"SteCoe_10497",2148,2411,731,2522,2655,1096
"SteCoe_10498",82,63,42,62,77,53
"SteCoe_10499",0,0,0,0,0,0
"SteCoe_105",0,0,0,0,0,0
"SteCoe_1050",0,0,0,0,0,0
"SteCoe_10500",1255.11268855368,1889.48373007207,342.476923076923,1713.12900274474,2045.68179116307,653.922882427307
"SteCoe_10501",120,153,40,139,197,90
"SteCoe_10502",1423,1800,410,1452,1938,642
"SteCoe_10503",40,52,20,66,48,66
"SteCoe_10504",0,0,0,0,0,0
"SteCoe_10505",341.445951845183,434.459181411852,122.544980291199,444.01414378085,622.136447907717,201.675760138632
"SteCoe_10506",7619.0145814261,7839.49799326356,2950,7793.48835649729,8306.49501507241,4307.39623048869
"SteCoe_10507",216,389,192,449,449,551
"SteCoe_10508",27,7,3,9,20,13
"SteCoe_10509",315,371,157,642,553,553
"SteCoe_10510",4,10,7,18,4,11
"SteCoe_10511",0,0,0,0,0,0
"SteCoe_10512",15,21,6,13,31,13
"SteCoe_10513",0,1,0,0,1,0
"SteCoe_10514",0,0,0,0,0,0
"SteCoe_10515",265,354,177,324,413,331
"SteCoe_10516",0,0,0,0,0,0
"SteCoe_10517",381,377,139,368,319,261
"SteCoe_10518",0,0,0,0,0,0
"SteCoe_10519",56,65,21,43,45,112
"SteCoe_1052",0,0,0,0,0,0
"SteCoe_10520",2782,2333,328,3588,3076,579
"SteCoe_10521",259,359,107,316,321,174
"SteCoe_10522",81,116,34,218,162,70
"SteCoe_10523",222,176,28,309,263,45
"SteCoe_10524",115,159,61,138,195,106
"SteCoe_10525",1545,1191,854,1521,1218,1074
"SteCoe_10526",0,0,0,0,0,0
"SteCoe_10527",50,91,42,97,82,77
"SteCoe_10528",22,39,2,30,24,52
