"","A1","A2","A6","P1","P2","P6"
"SteCoe_10145",87.9006572773128,115.318971158222,85.7223619096322,158.100986662363,123.140261181038,179.92364840731
"SteCoe_10146",24.9710093308319,32.6319678270077,25.8104839527274,22.6433812943569,16.4718282175849,25.0075425161142
"SteCoe_10147",107.263120420494,86.8121222903647,91.2689043556723,94.3790888970834,115.256215560739,117.348730696511
"SteCoe_10148",889.618667160146,982.035672119239,858.14442201968,1126.32383737197,1030.96200097474,1192.43057285227
"SteCoe_10149",157.389219256418,161.239293992112,184.914962510921,202.452933111158,195.792570850678,168.352643602394
"SteCoe_1015",0,0,0,0,0,0
"SteCoe_10150",525.158325187989,479.353391034709,461.91745890363,551.470979636764,557.846372260314,593.317861430423
"SteCoe_10151",22,10,15,22,8,12
"SteCoe_10152",0,0,0,1,0,0
"SteCoe_10153",52.9264811749475,52.8115432305126,63.0757368862112,74.4109049161291,77.1751521155888,67.8869987421844
"SteCoe_10154",6016.76849015787,6504.18984967846,5708.89734017808,6146.93742348433,5771.87356440678,6474.8349396012
"SteCoe_10155",8112.55474923163,8450.35190523346,7798.52988120001,8589.79485085101,8320.9167582632,8448.54671112756
"SteCoe_10156",51.8643894647956,74.2114191532294,79.3041645789747,117.543210747401,86.8449163188433,95.2091292147781
"SteCoe_10157",58.3454705677226,72.7804961322233,54.4227552596892,70.4567404555923,52.7780052658055,78.0037899652736
"SteCoe_10159",416.45760166161,405.564145396786,466.73332172363,581.106097684735,607.855574786597,579.082741776949
"SteCoe_10160",596.993430359663,559.858789474937,638.291713974221,773.075361399226,821.85071121888,719.781981983488
"SteCoe_10161",408.243418731707,407.583110361047,487.183548796177,594.392887752957,587.371902842544,519.231150890543
"SteCoe_10162",20672.8390219332,22281.3098461925,19889.2091315014,21922.7321252396,20759.615295246,22197.7135276436
"SteCoe_10163",68.7211419647948,72.3322437350392,76.3294465973633,94.9127016908626,93.4199401768409,87.3198229968804
"SteCoe_10164",877.172281645221,711.528270879312,731.987927505253,813.523533943094,1019.59257624702,996.093802716335
"SteCoe_10165",229.922394369147,259.991722961742,212.178089655765,238.48098851111,205.23938841737,250.405573982518
"SteCoe_10166",1470.78981344519,1624.75894074612,1473.47802261334,2007.37386838619,1868.94604656339,2155.2526445924
"SteCoe_10167",10.8116684719147,20.5656639917149,29.3831952030216,45.6001256924678,32.9757511496402,30.9893979733822
"SteCoe_10168",1286.03302085002,1340.12064454707,1160.60850320928,1255.67262053758,1227.16618255503,1350.26667432769
"SteCoe_10170",537.825903285236,536.312716149515,456.170158981299,610.183522485775,611.636377721598,767.920724835396
"SteCoe_10172",288.856771795087,333.89415494219,307.9268283285,355.243804576938,324.331055902977,313.498826467963
"SteCoe_10173",238,232,54,238,308,76
"SteCoe_10175",173.354622973805,175.492934979817,180.830339580117,185.943050415827,189.191197181571,162.262984350274
